Id,Title,Labels,Iteration,Iteration Start,Iteration End,Type,Estimate,Current State,Created at,Accepted at,Deadline,Requested By,Description,URL,Owned By,Owned By,Comment
162055787,Research: GitHub API vs. MySql Database,"",1,"Dec 10, 2018","Dec 16, 2018",feature,2,started,"Nov 19, 2018",,,Wyatt Derk,,https://www.pivotaltracker.com/story/show/162055787,em1404,
162055773,Research: GitHub,"",1,"Dec 10, 2018","Dec 16, 2018",feature,2,started,"Nov 19, 2018",,,Wyatt Derk,"Description: As a page designer, I should have some template pages created before settling on a design.

Acceptance Criteria: 
1. Two mock-pages created for both a home page and rule page.
2. Present the pages to the project lead.",https://www.pivotaltracker.com/story/show/162055773,em1404,
162055959,Develop: GitHub Source Control,"",1,"Dec 10, 2018","Dec 16, 2018",feature,1,started,"Nov 19, 2018",,,Wyatt Derk,,https://www.pivotaltracker.com/story/show/162055959,em1404,
162050523,Develop: Integrate Smarty,"",1,"Dec 10, 2018","Dec 16, 2018",feature,2,started,"Nov 19, 2018",,,Wyatt Derk,"Description: As a developer, I need the right technology for managing my site.

Acceptance Criteria:
1. Files are formatted and organized towards the criteria of the technology.
2. Pages display properly upon integration.",https://www.pivotaltracker.com/story/show/162050523,em1404,
162050064,Develop: Implement Git-Hub Database,functioning rule pages,1,"Dec 10, 2018","Dec 16, 2018",feature,2,started,"Nov 19, 2018",,,Wyatt Derk,"Description: As a developer I need to have my database working so that I can call items onto a page.

Acceptance Criteria: 
1. Rules are stored on Git-Hub.
2. The application is linked up to Github.",https://www.pivotaltracker.com/story/show/162050064,em1404,
162055847,Research: Naming Conventions Document,"",1,"Dec 10, 2018","Dec 16, 2018",feature,1,started,"Nov 19, 2018",,,Wyatt Derk,,https://www.pivotaltracker.com/story/show/162055847,Wyatt Derk,
162055821,Team: Sprint Report/ Document,"",1,"Dec 10, 2018","Dec 16, 2018",feature,1,started,"Nov 19, 2018",,,Wyatt Derk,,https://www.pivotaltracker.com/story/show/162055821,Wyatt Derk,
162040962,Design/ Develop: App Diagram,"",1,"Dec 10, 2018","Dec 16, 2018",feature,2,started,"Nov 19, 2018",,,Wyatt Derk,"Description: As a developer, I need a diagram made for mapping out the site as well as its functions.

Acceptance Criteria: 
1. A software created diagram that shows which pages connect to which and how they are related.",https://www.pivotaltracker.com/story/show/162040962,Wyatt Derk,
162076410,Research: GitHub ,"",1,"Dec 10, 2018","Dec 16, 2018",feature,2,started,"Nov 20, 2018",,,Wyatt Derk,"Description: As a back-end developer, I need to be able to understand the technology we are using to store our data.

Acceptance Criteria:
1. A 2-3 page document describing the usage of GitHub as a content manager (controller) and database.",https://www.pivotaltracker.com/story/show/162076410,Wyatt Derk,
162076456,Research: Hosting Service,"",1,"Dec 10, 2018","Dec 16, 2018",feature,2,started,"Nov 20, 2018",,,Wyatt Derk,"Description: As a project owner, I need to be able to know what is the best hosting service out there for the state of the product now and after completion.

Acceptance Criteria: 
1. A 2-3 page research document describing possible hosting services and how the benefit the project as a private app and a public one.",https://www.pivotaltracker.com/story/show/162076456,Wyatt Derk,
